id,businessId,name,stage,startDate,closeDate,notes,userId,createdAt,updatedAt,lastActivityDate,nextActivityDate,responsibleId,hasRequest,bookingRequestId,dealId,lostReason,name
,cmk5zhznm02pehpil78dxm4ee,Black box gym Q1 2025|Feb-2025-I,Iniciación,2/24/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/24/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyoln001brbhpnloqckfm,Blue Hill Cabins - Q2 2025|Jun-2025-I,Iniciación,6/3/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,6/3/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cml8gyoo2001crbhpyyzks9uk,Blue moon 2025|Aug-2025-I,Iniciación,8/20/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,8/20/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zcxjs00myhpilcunvol0c,Boquete Tree trek - Q4 2025|Aug-2025-I,Iniciación,8/27/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,8/27/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyp83001irbhpjjp9f714,Brod Sanwiches - Q2 2025|Mar-2025-I,Reunión,3/21/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,3/21/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8g9g3800ydnvhpggiz3bi0,Bucaneros Q3 20255|Jul-2025-I,Reunión,7/15/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,7/15/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gypfg001lrbhpfkqxckfr,Buco Pollo 2025|Jan-2025-I,Iniciación,1/29/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,1/29/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cmk5xllaw00cihpexlboto4zc,Buggy & Go - Q1 2026|Oct-2025-I,Iniciación,10/24/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,10/24/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gypkk001nrbhpgtc84tnh,Bungalu Fishing Trip Q3 2025|Sep-2025-I,Reunión,9/16/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,9/16/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5xllkk00cmhpexnjprwopn,Burger Post Office (BPO) - Q1 2026|Jan-2026-I,Iniciación,1/22/2026,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,1/22/2026,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
